date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:04:18	59/59	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	date:Fri,%2024%20Jun%202022%2021:40:45%20GMT	https://www.panily.com/robots.txt		(from )
09:04:19	14177/14177	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Mar%202024%2013:04:18%20GMT	https://www.panily.com/	www.panily.com/index.html	(from )
09:04:19	15086/15086	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2262b62f5d-3aee%22	https://www.panily.com/static/img/favicon.ico	www.panily.com/static/img/favicon.ico	(from https://www.panily.com/)
09:04:20	504/504	---MCZ	200	added ('OK')	text/css	etag:W/%2263d1f31a-1f8%22	https://www.panily.com/static/css/product.css	www.panily.com/static/css/product.css	(from https://www.panily.com/)
09:04:22	155845/155845	---MCZ	200	added ('OK')	text/css	etag:W/%2263d1f31a-260c5%22	https://www.panily.com/static/css/bootstrap.min.css	www.panily.com/static/css/bootstrap.min.css	(from https://www.panily.com/)
09:04:23	1624/1624	---MCZ	200	added ('OK')	text/css	etag:W/%2265597b1f-658%22	https://www.panily.com/static/css/external.css	www.panily.com/static/css/external.css	(from https://www.panily.com/)
09:04:24	50681/50681	---M--	200	added ('OK')	image/png	etag:%2262b62f5d-c5f9%22	https://www.panily.com/static/img/panily_round_icon.png	www.panily.com/static/img/panily_round_icon.png	(from https://www.panily.com/)
09:04:25	14177/14177	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Mar%202024%2013:04:24%20GMT	https://www.panily.com/home	www.panily.com/home.html	(from https://www.panily.com/)
09:04:26	20214/20214	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Mar%202024%2013:04:25%20GMT	https://www.panily.com/patient_features	www.panily.com/patient_features.html	(from https://www.panily.com/)
09:04:27	12278/12278	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Mar%202024%2013:04:26%20GMT	https://www.panily.com/patient_faq	www.panily.com/patient_faq.html	(from https://www.panily.com/)
09:04:28	12154/12154	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Mar%202024%2013:04:27%20GMT	https://www.panily.com/patient_user_guide	www.panily.com/patient_user_guide.html	(from https://www.panily.com/)
09:04:29	13044/13044	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Mar%202024%2013:04:28%20GMT	https://www.panily.com/addon_features	www.panily.com/addon_features.html	(from https://www.panily.com/)
09:04:29	10829/10829	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Mar%202024%2013:04:29%20GMT	https://www.panily.com/addon_faq	www.panily.com/addon_faq.html	(from https://www.panily.com/)
09:04:31	7310/7310	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Mar%202024%2013:04:30%20GMT	https://www.panily.com/feedback	www.panily.com/feedback.html	(from https://www.panily.com/)
09:04:32	24637/24637	---M--	200	added ('OK')	image/png	etag:%2262b62f5d-603d%22	https://www.panily.com/static/img/google-play-badge.png	www.panily.com/static/img/google-play-badge.png	(from https://www.panily.com/)
09:04:33	41765/41765	---M--	200	added ('OK')	image/png	etag:%2262b62f5d-a325%22	https://www.panily.com/static/img/app-store-badge.png	www.panily.com/static/img/app-store-badge.png	(from https://www.panily.com/)
09:04:35	115917/115917	---M--	200	added ('OK')	image/png	etag:%2263d1f31a-1c4cd%22	https://www.panily.com/static/img/home/security_screen.png	www.panily.com/static/img/home/security_screen.png	(from https://www.panily.com/)
09:04:35	309646/309646	---M--	200	added ('OK')	image/png	etag:%2263d1f31a-4b98e%22	https://www.panily.com/static/img/home/home_screen.png	www.panily.com/static/img/home/home_screen.png	(from https://www.panily.com/)
09:04:37	78743/78743	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263d1f31a-13397%22	https://www.panily.com/static/js/bootstrap.bundle.min.js	www.panily.com/static/js/bootstrap.bundle.min.js	(from https://www.panily.com/)
09:04:38	424686/424686	---M--	200	added ('OK')	image/png	etag:%2263d1f31a-67aee%22	https://www.panily.com/static/img/home/medications_screen.png	www.panily.com/static/img/home/medications_screen.png	(from https://www.panily.com/)
09:04:38	4686/4686	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Mar%202024%2013:04:38%20GMT	https://www.panily.com/cdn-cgi/l/email-protection	www.panily.com/cdn-cgi/l/email-protection.html	(from https://www.panily.com/)
09:04:39	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265eb5097-4d7%22	https://www.panily.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	www.panily.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://www.panily.com/)
09:04:40	350/350	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263d409ab-15e%22	https://www.panily.com/static/js/_external.js	www.panily.com/static/js/_external.js	(from https://www.panily.com/)
09:04:41	276401/276401	---M--	200	added ('OK')	image/png	etag:%2263d1f31a-437b1%22	https://www.panily.com/static/img/home/symptoms_screen.png	www.panily.com/static/img/home/symptoms_screen.png	(from https://www.panily.com/)
09:04:41	1518/1518	---MCZ	200	added ('OK')	text/css	etag:W/%2263d1f31a-5ee%22	https://www.panily.com/static/css/features.css	www.panily.com/static/css/features.css	(from https://www.panily.com/patient_features)
09:04:43	319121/319121	---M--	200	added ('OK')	image/png	etag:%2263d1f31a-4de91%22	https://www.panily.com/static/img/features/medications_screen.png	www.panily.com/static/img/features/medications_screen.png	(from https://www.panily.com/patient_features)
09:04:44	268689/268689	---M--	200	added ('OK')	image/png	etag:%2263d1f31a-41991%22	https://www.panily.com/static/img/features/addressbook_screen.png	www.panily.com/static/img/features/addressbook_screen.png	(from https://www.panily.com/patient_features)
09:04:46	177027/177027	---M--	200	added ('OK')	image/png	etag:%2263d1f31a-2b383%22	https://www.panily.com/static/img/features/add_condition_screen.png	www.panily.com/static/img/features/add_condition_screen.png	(from https://www.panily.com/patient_features)
09:04:46	440476/440476	---M--	200	added ('OK')	image/png	etag:%2263d1f31a-6b89c%22	https://www.panily.com/static/img/features/reports_screen.png	www.panily.com/static/img/features/reports_screen.png	(from https://www.panily.com/patient_features)
09:04:47	226331/226331	---M--	200	added ('OK')	image/png	etag:%2263d1f31a-3741b%22	https://www.panily.com/static/img/features/symptoms_screen.png	www.panily.com/static/img/features/symptoms_screen.png	(from https://www.panily.com/patient_features)
09:04:48	273456/273456	---M--	200	added ('OK')	image/png	etag:%2263d1f31a-42c30%22	https://www.panily.com/static/img/features/journal_screen.png	www.panily.com/static/img/features/journal_screen.png	(from https://www.panily.com/patient_features)
09:04:49	287993/287993	---M--	200	added ('OK')	image/png	etag:%2263d1f31a-464f9%22	https://www.panily.com/static/img/features/appointments_screen.png	www.panily.com/static/img/features/appointments_screen.png	(from https://www.panily.com/patient_features)
09:04:49	135336/135336	---M--	200	added ('OK')	image/png	etag:%2263d1f31a-210a8%22	https://www.panily.com/static/img/features/reminder_screen.png	www.panily.com/static/img/features/reminder_screen.png	(from https://www.panily.com/patient_features)
09:04:51	1524/1524	---MCZ	200	added ('OK')	text/css	etag:W/%2265597b1f-5f4%22	https://www.panily.com/static/css/external_md.css	www.panily.com/static/css/external_md.css	(from https://www.panily.com/patient_faq)
09:04:52	648/648	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2013%20Mar%202024%2013:04:52%20GMT	https://www.panily.com/app_privacy_policy	www.panily.com/app_privacy_policy	(from https://www.panily.com/patient_faq)
09:04:53	788630/788630	---M--	200	added ('OK')	image/png	etag:%2263d1f31a-c0896%22	https://www.panily.com/static/img/features/coverages_screen.png	www.panily.com/static/img/features/coverages_screen.png	(from https://www.panily.com/patient_features)
09:04:53	21357/21357	---M--	200	added ('OK')	image/png	etag:%2263d409ab-536d%22	https://www.panily.com/static/img/userguide-images/add_prescription.png	www.panily.com/static/img/userguide-images/add_prescription.png	(from https://www.panily.com/patient_user_guide)
09:04:54	19962/19962	---M--	200	added ('OK')	image/png	etag:%2263d409ab-4dfa%22	https://www.panily.com/static/img/userguide-images/add_medication1.png	www.panily.com/static/img/userguide-images/add_medication1.png	(from https://www.panily.com/patient_user_guide)
09:04:55	20258/20258	---M--	200	added ('OK')	image/png	etag:%2263d409ab-4f22%22	https://www.panily.com/static/img/userguide-images/add_medication2.png	www.panily.com/static/img/userguide-images/add_medication2.png	(from https://www.panily.com/patient_user_guide)
09:04:56	30725/30725	---M--	200	added ('OK')	image/png	etag:%2263d409ab-7805%22	https://www.panily.com/static/img/userguide-images/add_medication3.png	www.panily.com/static/img/userguide-images/add_medication3.png	(from https://www.panily.com/patient_user_guide)
09:04:57	20410/20410	---M--	200	added ('OK')	image/png	etag:%2263d409ab-4fba%22	https://www.panily.com/static/img/userguide-images/record_medication1.png	www.panily.com/static/img/userguide-images/record_medication1.png	(from https://www.panily.com/patient_user_guide)
09:04:58	22431/22431	---M--	200	added ('OK')	image/png	etag:%2263d409ab-579f%22	https://www.panily.com/static/img/userguide-images/add_condition1.png	www.panily.com/static/img/userguide-images/add_condition1.png	(from https://www.panily.com/patient_user_guide)
09:04:59	26372/26372	---M--	200	added ('OK')	image/png	etag:%2263d409ab-6704%22	https://www.panily.com/static/img/userguide-images/add_condition2.png	www.panily.com/static/img/userguide-images/add_condition2.png	(from https://www.panily.com/patient_user_guide)
09:05:00	13006/13006	---M--	200	added ('OK')	image/png	etag:%2263d409ab-32ce%22	https://www.panily.com/static/img/userguide-images/record_symptoms1.png	www.panily.com/static/img/userguide-images/record_symptoms1.png	(from https://www.panily.com/patient_user_guide)
09:05:01	28734/28734	---M--	200	added ('OK')	image/png	etag:%2263d409ab-703e%22	https://www.panily.com/static/img/userguide-images/record_symptoms2.png	www.panily.com/static/img/userguide-images/record_symptoms2.png	(from https://www.panily.com/patient_user_guide)
09:05:02	27251/27251	---M--	200	added ('OK')	image/png	etag:%2263d409ab-6a73%22	https://www.panily.com/static/img/userguide-images/record_symptoms3.png	www.panily.com/static/img/userguide-images/record_symptoms3.png	(from https://www.panily.com/patient_user_guide)
09:05:03	95845/95845	---M--	200	added ('OK')	image/png	etag:%2265597b1f-17665%22	https://www.panily.com/static/img/features/provider_home_screen.png	www.panily.com/static/img/features/provider_home_screen.png	(from https://www.panily.com/addon_features)
09:05:05	169698/169698	---M--	200	added ('OK')	image/png	etag:%2265597b1f-296e2%22	https://www.panily.com/static/img/features/share_content_screen.png	www.panily.com/static/img/features/share_content_screen.png	(from https://www.panily.com/addon_features)
09:05:05	92503/92503	---M--	200	added ('OK')	image/png	etag:%2265597b1f-16957%22	https://www.panily.com/static/img/features/push_notification_screen.png	www.panily.com/static/img/features/push_notification_screen.png	(from https://www.panily.com/addon_features)
09:05:06	125252/125252	---M--	200	added ('OK')	image/png	etag:%2265597b1f-1e944%22	https://www.panily.com/static/img/features/take_survey_screen.png	www.panily.com/static/img/features/take_survey_screen.png	(from https://www.panily.com/addon_features)
09:05:07	100594/100594	---M--	200	added ('OK')	image/png	etag:%2265597b1f-188f2%22	https://www.panily.com/static/img/features/collect_data_screen.png	www.panily.com/static/img/features/collect_data_screen.png	(from https://www.panily.com/addon_features)
